message_id,subject_length,attachment_size,time_since_access,priority,sender
<210565531.1000723.1747512392496@lor1-app96078.prod.linkedin.com>,54,0,1,0,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>
<399995633342183381@travel.e-redbus.in>,55,0,1,0,=?UTF-8?B?cmVkQnVz?= <greetings@travel.e-redbus.in>
<EYMe3UtERU-pLU1XwRNKdQ@geopod-ismtpd-3>,48,0,1,0,NPTEL EXAM <nptelexam@nptel.iitm.ac.in>
<mkl-6_pISwOIUiJjXViSKw@geopod-ismtpd-4>,83,0,1,0,onlinecourses@nptel.iitm.ac.in
<YtR9EZnQTg6gDPz0asyxqQ@geopod-ismtpd-2>,86,0,1,0,onlinecourses@nptel.iitm.ac.in
<6829f1c7.810a0220.3787f.4827.GMR@mx.google.com>,38,0,1,0,Mail Delivery Subsystem <mailer-daemon@googlemail.com>
<C4.9E.14503.908F9286@i-06c1808c9ac6a33be.mta1vrest.sd.prd.sparkpost>,31,0,1,0,"""Coursera"" <Coursera@m.learn.coursera.org>"
<1673364309.9191205.1747605990846@lor1-app75316.prod.linkedin.com>,46,0,1,0,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>
<Y2C-0eYNRzemT2yitNciPA@geopod-ismtpd-0>,56,0,1,0,Canva <marketing@engage.canva.com>
<816387544842183381@travel.e-redbus.in>,52,0,1,0,=?UTF-8?B?cmVkQnVz?= <greetings@travel.e-redbus.in>
<CAFi4wK_3-Fw7U-2BiPZrMyBgXnVZhMb+8rD2YzuTNAOjEkDfvA@mail.gmail.com>,42,0,1,0,NPTEL <onlinecourses@nptel.iitm.ac.in>
<970487627.12931683.1747656403112@lor1-app90365.prod.linkedin.com>,25,0,1,0,LinkedIn <messages-noreply@linkedin.com>
<lJqZrjzdTXam2pPVhokRbQ@geopod-ismtpd-12>,8,0,1,0,AICTE Career Portal - apna <jobalerts@apna-jobs.com>
<451697147.2750485.1747664520241@lva1-app105917.prod.linkedin.com>,62,0,1,0,LinkedIn <updates-noreply@linkedin.com>
<1259812636.819700.1747692403213@lor1-app75391.prod.linkedin.com>,58,0,1,0,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>
<111477797142183381@travel.e-redbus.in>,34,0,1,0,=?UTF-8?B?cmVkQnVz?= <greetings@travel.e-redbus.in>
<TtQLJpw2QkqrZu91tZAF2w@geopod-ismtpd-2>,8,0,1,0,AICTE Career Portal - apna <jobalerts@apna-jobs.com>
<1450850371.3198163.1747745947272@lva1-app93256.prod.linkedin.com>,94,0,1,0,LinkedIn <groups-noreply@linkedin.com>
<771293366.430634834.1747764441259@abmktmail-batch1i.marketo.org>,62,0,1,0,IBM SkillsBuild <user@skillsbuild.org>
<NM606E1114B0A1E6723adobein_mid_prod8@mail.adobe.com>,43,0,1,0,"""Adobe for Photographers"" <mail@mail.adobe.com>"
<1207287692.7515635.1747836939884@lva1-app49399.prod.linkedin.com>,62,0,1,0,LinkedIn <updates-noreply@linkedin.com>
<D5OmxGzGu58vfFwR6g7O1Q@notifications.google.com>,14,0,1,0,Google <no-reply@accounts.google.com>
<232085126.7397573.1747843886739@lor1-app92433.prod.linkedin.com>,41,0,1,0,LinkedIn <jobs-listings@linkedin.com>
<565182461.78045.1747850914727@lva1-app46577.prod.linkedin.com>,36,0,1,0,LinkedIn <messages-noreply@linkedin.com>
<0.2.155.702.1DBCA6BD05848D0.0@omp.e.linkedin.com>,35,0,1,0,=?UTF-8?B?TGlua2VkSW4=?= <linkedin@e.linkedin.com>
<83.DB.55777.0C12E286@n5plimla02.ieil.net>,50,30505,1,0,Naukri Campus  <eventnc@naukri.com>
<1872678205.415278.1747865260345@lor1-app52466.prod.linkedin.com>,44,0,1,0,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>
